estilo,url,era,origin,fermentation,color,strength,taste,abv_min_%,abv_max_%,abv_prom_%,ibu_min,ibu_max,ibu_prom,color_ebc_min,color_ebc_max
American Pale Ale,https://www.beer-analytics.com/styles/pale-american-ale/american-pale-ale/,Craft,North America,Top,Pale,Normal,Bitter,4.5,6.2,5.35,30.0,50.0,40.0,10.0,20.0
American Lager,https://www.beer-analytics.com/styles/standard-american-beer/american-lager/,Traditional,🇺🇸 United States,Bottom,Pale,Normal,Balanced,4.2,5.3,4.75,8.0,18.0,13.0,4.0,7.0
Weissbier,https://www.beer-analytics.com/styles/german-wheat-beer/weissbier/,Traditional,🇪🇺 Central Europe,Top,Pale,Normal,Malty,4.3,5.6,4.95,8.0,15.0,11.5,4.0,12.0
Irish Stout,https://www.beer-analytics.com/styles/irish-beer/irish-stout/,Traditional,🇮🇪 Ireland,Top,Dark,Normal,Bitter,3.8,5.0,4.4,25.0,45.0,35.0,49.0,79.0
American IPA,https://www.beer-analytics.com/styles/ipa/american-ipa/,Craft,North America,Top,Pale,High,Bitter,5.5,7.5,6.5,40.0,70.0,55.0,12.0,28.0
Belgian IPA,https://www.beer-analytics.com/styles/ipa/belgian-ipa/,Craft,North America,Top,Pale,High,Bitter,6.2,9.5,7.85,50.0,100.0,75.0,10.0,16.0
Black IPA,https://www.beer-analytics.com/styles/ipa/black-ipa/,Craft,North America,Top,Dark,High,Bitter,5.5,9.0,7.25,50.0,90.0,70.0,49.0,79.0
Brown IPA,https://www.beer-analytics.com/styles/ipa/brown-ipa/,Craft,North America,Top,Dark,High,Bitter,5.5,7.5,6.5,40.0,70.0,55.0,35.0,69.0
Red IPA,https://www.beer-analytics.com/styles/ipa/red-ipa/,Craft,North America,Top,Amber,High,Bitter,5.5,7.5,6.5,40.0,70.0,55.0,22.0,33.0
Rye IPA,https://www.beer-analytics.com/styles/ipa/rye-ipa/,Craft,North America,Top,Amber,High,Bitter,5.5,8.0,6.75,50.0,75.0,62.5,12.0,28.0
White IPA,https://www.beer-analytics.com/styles/ipa/white-ipa/,Craft,North America,Top,Pale,High,Bitter,5.5,7.0,6.25,40.0,70.0,55.0,10.0,12.0
Brut IPA,https://www.beer-analytics.com/styles/ipa/brut-ipa/,Craft,North America,Top,Pale,High,Bitter,6.0,7.5,6.75,20.0,30.0,25.0,4.0,8.0
Hazy IPA,https://www.beer-analytics.com/styles/ipa/hazy-ipa/,Craft,North America,Top,Pale,High,Bitter,6.0,9.0,7.5,25.0,60.0,42.5,6.0,14.0
